Date,Close,High,Low,Open,Volume
7/2/2020,15122.5498,15195.2002,14782.4502,14803.5,41200
7/3/2020,15285.90039,15336.84961,15148.5,15164.25,27200
7/6/2020,15464.9502,15580.5,15351.7002,15351.7002,31900
7/7/2020,15784.9502,15806.84961,15440.09961,15528.0498,51600
7/8/2020,15513.65039,15765.0498,15473.5,15765,28400
7/9/2020,15535.9502,15663.4502,15468.40039,15572.34961,26600
7/10/2020,15565.2002,15656.0498,15417.5,15471.7002,27600
7/13/2020,15819.2002,15885.5498,15624.7998,15643.09961,44800
7/14/2020,15640.5498,15941.65039,15611.84961,15779.5,42000
7/15/2020,16459.84961,16624.65039,15830.5,15853.7998,193800
7/16/2020,16926.05078,17491.15039,16715.75,16971.25,190500
7/17/2020,16821.34961,16975.19922,16693.34961,16936.94922,88200
7/20/2020,17258.30078,17376.15039,16849.15039,16880.34961,61200
7/21/2020,17273.19922,17514.05078,17219.69922,17453.34961,63700
7/22/2020,17076.05078,17321.69922,16978.40039,17317.30078,38300
7/23/2020,17045.19922,17082.55078,16949.15039,17071.80078,35700
7/24/2020,17286,17322.69922,16944.55078,16944.55078,75700
7/27/2020,17626.75,17735.65039,17290.55078,17323,65300
7/28/2020,18042.75,18103.65039,17634.40039,17647.90039,74600
7/29/2020,17880.5,18108.69922,17783.30078,17959.80078,45700
7/30/2020,18003.55078,18252.69922,17967.19922,17995.25,63700
7/31/2020,18071.84961,18353.5,17909.30078,18166.30078,47100
8/3/2020,17965.80078,18140.84961,17840.30078,18099.40039,33100
8/4/2020,17808,18092,17716.40039,18029.40039,0
8/5/2020,17869.80078,18139.25,17818.15039,17889.55078,35500
8/6/2020,18188.75,18222.80078,17943.84961,18009.69922,43900
8/7/2020,18004.15039,18182.30078,17977.69922,18182.30078,32100
8/10/2020,18159.55078,18205.25,18016.80078,18090.25,26000
8/11/2020,18057.09961,18331.65039,18036.5,18202.5,30800
8/12/2020,18066,18109.80078,17900,18077.15039,38900
8/13/2020,18107.19922,18344.05078,18032.90039,18141.34961,35300
8/14/2020,18022.65039,18230.09961,17994.65039,18137.30078,25700
8/17/2020,18223.59961,18306.94922,18103.30078,18136.65039,39300
8/18/2020,18270.34961,18375.15039,18209.55078,18318.59961,0
8/19/2020,18210.84961,18354.80078,18187.55078,18340,0
8/20/2020,18126.09961,18252.30078,18083.25,18181.40039,0
8/21/2020,18065.30078,18282.55078,18047.94922,18266.90039,0
8/24/2020,18010.94922,18112.90039,17915.59961,18092.55078,0
8/25/2020,17973.69922,18047.5,17914.5,18028.80078,0
8/26/2020,18128,18156.15039,17940.69922,18022.69922,0
8/27/2020,18102.65039,18305.55078,18075.75,18231.94922,0
8/28/2020,18122,18253.59961,18093.44922,18216.30078,0
8/31/2020,17928.84961,18426.40039,17791.84961,18163.25,0
9/1/2020,17814.05078,18154.40039,17775.65039,17954.59961,0
9/2/2020,18077,18114.84961,17858.30078,17860.65039,0
9/3/2020,18348.55078,18497.94922,18108,18148.25,0
9/4/2020,18073.94922,18259.80078,18012.80078,18049.19922,0
9/7/2020,18176.80078,18208.94922,17962.34961,18093.05078,28400
9/8/2020,18395.75,18671.75,18213.55078,18304.25,0
9/9/2020,18261.5,18439.55078,18193.44922,18264.19922,0
9/10/2020,18395.84961,18416.75,18217.09961,18385.94922,0
9/11/2020,18633.25,18740.84961,18338.09961,18347.65039,0
9/14/2020,19505.09961,19592.30078,18799.55078,18804.84961,0
9/15/2020,19627.30078,19823,19392.34961,19511.5,0
9/16/2020,19770.34961,19802.40039,19533.69922,19642.30078,0
9/17/2020,19817.69922,20014.65039,19605.05078,19660.44922,0
